LOCATION,ITEM,LOC_LINES,LOC_CAP,LOCATING_ZONE
130-M-029,EMPTY,0,1,L-ARLINGTON
130-J-104,EMPTY,0,1,L-ARLINGTON
130-M-023,EMPTY,0,1,L-ARLINGTON
130-M-019,EMPTY,0,1,L-ARLINGTON
120-K-080,EMPTY,0,1,L-ARLINGTON
120-K-078,EMPTY,0,1,L-ARLINGTON
130-M-024,EMPTY,0,1,L-ARLINGTON
130-H-114,EMPTY,0,1,L-ARLINGTON
130-M-011,EMPTY,0,1,L-ARLINGTON
130-M-031,EMPTY,0,1,L-ARLINGTON
110-M-028,EMPTY,0,1,L-ARLINGTON
130-M-028,EMPTY,0,1,L-ARLINGTON
130-H-117,EMPTY,0,1,L-ARLINGTON
130-M-020,EMPTY,0,1,L-ARLINGTON
130-J-102,EMPTY,0,1,L-ARLINGTON
130-M-022,EMPTY,0,1,L-ARLINGTON
120-J-084,EMPTY,0,1,L-ARLINGTON
130-M-032,EMPTY,0,1,L-ARLINGTON
130-L-051,EMPTY,0,1,L-ARLINGTON
130-L-046,EMPTY,0,1,L-ARLINGTON
130-J-082,EMPTY,0,1,L-ARLINGTON
120-M-014,EMPTY,0,1,L-ARLINGTON
040-K-070,EMPTY,0,1,L-ARLINGTON
130-F-155,EMPTY,0,1,L-ARLINGTON
120-K-060,EMPTY,0,1,L-ARLINGTON
130-E-183,EMPTY,0,1,L-ARLINGTON
130-J-089,EMPTY,0,1,L-ARLINGTON
130-J-096,EMPTY,0,1,L-ARLINGTON
080-M-016,EMPTY,0,1,L-ARLINGTON
130-J-086,EMPTY,0,1,L-ARLINGTON
130-K-074,EMPTY,0,1,L-ARLINGTON
130-H-118,EMPTY,0,1,L-ARLINGTON
130-G-127,EMPTY,0,1,L-ARLINGTON
130-G-125,EMPTY,0,1,L-ARLINGTON
130-F-158,EMPTY,0,1,L-ARLINGTON
090-M-028,EMPTY,0,1,L-ARLINGTON
130-J-088,EMPTY,0,1,L-ARLINGTON
130-J-087,EMPTY,0,1,L-ARLINGTON
120-M-028,EMPTY,0,1,L-ARLINGTON
120-J-102,EMPTY,0,1,L-ARLINGTON
100-L-044,EMPTY,0,1,L-ARLINGTON
120-J-092,EMPTY,0,1,L-ARLINGTON
120-J-090,EMPTY,0,1,L-ARLINGTON
130-M-026,EMPTY,0,1,L-ARLINGTON
120-G-136,EMPTY,0,1,L-ARLINGTON
110-M-032,EMPTY,0,1,L-ARLINGTON
110-M-018,EMPTY,0,1,L-ARLINGTON
100-M-028,EMPTY,0,1,L-ARLINGTON
100-M-024,EMPTY,0,1,L-ARLINGTON
130-E-182,EMPTY,0,1,L-ARLINGTON
080-H-106,EMPTY,0,1,L-ARLINGTON
120-M-030,EMPTY,0,1,L-ARLINGTON
090-M-020,EMPTY,0,1,L-ARLINGTON
090-M-018,EMPTY,0,1,L-ARLINGTON
080-M-030,EMPTY,0,1,L-ARLINGTON
080-K-074,EMPTY,0,1,L-ARLINGTON
080-M-024,EMPTY,0,1,L-ARLINGTON
130-E-174,EMPTY,0,1,L-ARLINGTON
100-H-118,EMPTY,0,1,L-ARLINGTON
130-K-068,EMPTY,0,1,L-ARLINGTON
060-J-104,EMPTY,0,1,L-ARLINGTON
120-M-024,EMPTY,0,1,L-ARLINGTON
060-J-090,EMPTY,0,1,L-ARLINGTON
060-J-086,EMPTY,0,1,L-ARLINGTON
020-L-056,EMPTY,0,1,L-ARLINGTON
010-D-197,EMPTY,0,1,L-ARLINGTON
130-M-027,EMPTY,0,1,L-ARLINGTON
090-M-030,EMPTY,0,1,L-ARLINGTON
130-G-122,EMPTY,0,1,L-ARLINGTON
130-M-018,EMPTY,0,1,L-ARLINGTON
130-M-021,EMPTY,0,1,L-ARLINGTON
130-M-016,EMPTY,0,1,L-ARLINGTON
130-M-013,EMPTY,0,1,L-ARLINGTON
130-M-012,EMPTY,0,1,L-ARLINGTON
130-M-010,EMPTY,0,1,L-ARLINGTON
130-M-008,EMPTY,0,1,L-ARLINGTON
130-K-073,EMPTY,0,1,L-ARLINGTON
080-M-012,EMPTY,0,1,L-ARLINGTON
130-K-069,EMPTY,0,1,L-ARLINGTON
130-K-066,EMPTY,0,1,L-ARLINGTON
130-K-062,EMPTY,0,1,L-ARLINGTON
130-K-059,EMPTY,0,1,L-ARLINGTON
130-J-100,EMPTY,0,1,L-ARLINGTON
130-M-014,EMPTY,0,1,L-ARLINGTON
060-C-216,EMPTY,0,1,L-ARLINGTON
130-K-072,EMPTY,0,1,L-ARLINGTON
130-K-070,EMPTY,0,1,L-ARLINGTON
130-H-109,EMPTY,0,1,L-ARLINGTON
130-H-108,EMPTY,0,1,L-ARLINGTON
130-H-107,EMPTY,0,1,L-ARLINGTON
130-G-130,EMPTY,0,1,L-ARLINGTON
120-M-032,EMPTY,0,1,L-ARLINGTON
130-J-093,EMPTY,0,1,L-ARLINGTON
130-F-151,EMPTY,0,1,L-ARLINGTON
120-M-020,EMPTY,0,1,L-ARLINGTON
110-M-020,EMPTY,0,1,L-ARLINGTON
120-F-150,EMPTY,0,1,L-ARLINGTON
120-M-022,EMPTY,0,1,L-ARLINGTON
060-K-078,EMPTY,0,1,L-ARLINGTON
060-K-080,EMPTY,0,1,L-ARLINGTON
110-M-026,EMPTY,0,1,L-ARLINGTON
060-J-082,EMPTY,0,1,L-ARLINGTON
130-E-178,EMPTY,0,1,L-ARLINGTON
120-M-008,EMPTY,0,1,L-ARLINGTON
120-K-074,EMPTY,0,1,L-ARLINGTON
120-H-116,EMPTY,0,1,L-ARLINGTON
120-H-110,EMPTY,0,1,L-ARLINGTON
090-M-026,EMPTY,0,1,L-ARLINGTON
110-M-030,EMPTY,0,1,L-ARLINGTON
130-E-166,EMPTY,0,1,L-ARLINGTON
