STG-002,K0988
STG-003,R5507
STG-004,N5902
STG-005,A1962
STG-006,C8390
STG-007,J0926
STG-008,U7998
STG-009,L2110
STG-010,R2050
STG-011,S5102
STG-012,M0125
STG-013,V0882
STG-068,H3325
STG-069,W6887
STG-070,D2062
STG-071,N4231
STG-072,V2795
STG-073,G3540
STG-074,F4527
STG-075,U6634
STG-076,A3617
STG-077,Q3109
STG-078,L0438
STG-079,Y7513
STG-082,H6460
STG-083,I4159
STG-084,W7827
STG-085,K7581
STG-086,E0047
STG-087,S8026
STG-088,K1233
STG-089,D8347
STG-090,L2768
STG-091,X4310
STG-092,M5645
STG-093,M0454
STG-149,O1553
STG-150,L9658
STG-151,A4477
STG-152,X0926
STG-153,X8334
STG-154,S6801
STG-155,T4883
STG-156,F2616
STG-157,N6047
STG-158,E3787
STG-159,P0420
STG-160,J5990
DR-002,X3708
DR-003,X5729
DR-004,M5005
DR-005,Y4179
DR-006,W7864
DR-007,N0903
DR-008,N4136
DR-009,Z4121
DR-010,H4297
DR-011,M9453
DR-012,I1268
DR-013,P1856
DR-068,Z4636
DR-069,V5465
DR-070,F6836
DR-071,I9757
DR-072,B0746
DR-073,S9423
DR-074,B0918
DR-075,N2040
DR-076,D3663
DR-077,R8574
DR-078,O8578
DR-079,F8651
DR-082,H0062
DR-083,S6314
DR-084,D4791
DR-085,R3573
DR-086,B3843
DR-087,C0046
DR-088,O4914
DR-089,A4278
DR-090,W2625
DR-091,G0364
DR-092,Q0856
DR-093,A5955
DR-149,V1504
DR-150,G1527
DR-151,O4323
DR-152,X1147
DR-153,D4894
DR-154,T7862
DR-155,Y2831
DR-156,Y2736
DR-157,O6080
DR-158,Z7244
DR-159,R6079
DR-160,O8731
010-C-211,W5872
010-C-212,J4477
010-C-213,O9421
010-C-214,L7809
010-C-215,I3082
010-C-216,L3058
010-C-217,D3250
010-C-218,O7014
010-C-219,B3150
010-C-220,J0571
010-C-221,V3287
010-C-222,Y5216
010-C-223,I8685
010-C-224,B2163
010-C-225,V2468
010-C-226,Z1965
010-C-227,D7111
010-C-228,R3659
010-C-229,B6649
010-C-230,U5596
010-C-231,V8691
010-C-232,E2848
010-C-233,N7912
010-C-234,C7670
010-C-235,M6922
010-C-237,O6114
010-C-239,V9459
010-C-241,Z6651
010-C-243,V0898
010-D-185,J0710
010-D-186,D1527
010-D-187,V7753
010-D-188,Y7259
010-D-189,A5528
010-D-190,G9521
010-D-191,T0578
010-D-192,Q6648
010-D-193,I4476
010-D-194,T5973
010-D-195,J0792
010-D-196,V9790
010-D-197,Z1813
010-D-198,C0157
010-D-199,L9078
010-D-201,A5752
010-D-203,W8578
010-D-209,T8058
010-D-210,U6725
010-E-161,O1993
010-E-162,H3112
010-E-163,S8555
010-E-164,P2512
010-E-165,F2910
010-E-166,Q5257
010-E-167,D1862
010-E-168,A4708
010-E-169,C6161
010-E-170,X2192
010-E-171,U5888
010-E-172,S4417
010-E-173,K3392
010-E-174,W2597
010-E-175,T5153
010-E-176,N3519
010-E-177,L6319
010-E-178,D9534
010-E-179,S6289
010-E-180,V5322
010-E-181,Y5239
010-E-182,P3732
010-E-183,R3078
010-E-184,E6244
010-F-139,Z6589
010-F-141,Z2018
010-F-143,E7162
010-F-145,E0021
010-F-146,N0811
010-F-147,K4421
010-F-148,G4363
010-F-149,X1680
010-F-150,E9824
010-F-151,Q8067
010-F-152,T1491
010-F-153,Z0404
010-F-154,X5198
010-F-155,V2870
010-F-156,C0745
010-F-157,V3330
010-F-158,Q3370
010-F-159,D2937
010-F-160,I2900
010-G-121,X8600
010-G-122,X1315
010-G-123,S1046
010-G-124,M3458
010-G-125,B5024
010-G-126,O6019
010-G-127,I8790
010-G-128,A8179
010-G-129,B6057
010-G-130,E7462
010-G-131,J9613
010-G-132,L5672
010-G-133,Y4265
010-G-134,B4870
010-G-135,I5711
010-G-136,Q5242
010-H-105,Q1331
010-H-106,J6011
010-H-107,J0764
010-H-108,J7361
010-H-109,F3025
010-H-110,H2559
010-H-111,B2781
010-H-112,S8202
010-H-113,N7951
010-H-114,W8975
010-H-115,C5355
010-H-116,X5328
010-H-117,B3971
010-H-118,F4605
010-H-119,P4178
010-H-120,K1946
010-J-081,S9553
010-J-082,M9341
010-J-083,R8350
010-J-084,W7018
010-J-085,E0255
010-J-086,T9947
010-J-087,N5984
010-J-088,N4242
010-J-089,M8600
010-J-090,I8999
010-J-091,O4748
010-J-092,M2551
010-J-093,B6290
010-J-094,Z7180
010-J-095,E7089
010-J-096,C9926
010-J-097,M7495
010-J-098,N6845
010-J-099,U3344
010-J-100,V6971
010-J-101,J4961
010-J-102,S6831
010-J-103,C0692
010-J-104,Y4399
010-K-057,H9392
010-K-058,P5231
010-K-059,E0776
010-K-060,E6943
010-K-061,Q3131
010-K-062,T6048
010-K-063,B7767
010-K-064,S6331
010-K-065,D4088
010-K-066,X1357
010-K-067,S8880
010-K-068,L1010
010-K-069,E8388
010-K-070,L1025
010-K-071,H5257
010-K-072,D0543
010-K-073,H6428
010-K-074,Q3668
010-K-075,G8716
010-K-076,W0071
010-K-077,M6816
010-K-078,G4296
010-K-079,I2767
010-K-080,C6737
010-L-043,U3141
010-L-044,P9067
010-L-045,N4355
010-L-046,I7494
010-L-047,B9865
010-L-048,U3247
010-L-049,X3913
010-L-050,E1251
010-L-051,Z8077
010-L-052,K3697
010-L-053,D2280
010-L-054,Y6302
010-L-055,Z4761
010-L-056,N4587
020-D-186,S8136
020-D-190,T1599
020-D-194,R5341
020-D-198,A8253
020-E-162,H6717
020-E-166,Y0655
020-E-170,D6294
020-E-174,J8720
020-E-178,G3366
020-E-182,X5611
020-E-184,J4821
020-F-146,F3774
020-F-148,Y4308
020-F-152,T6510
020-F-156,C8263
020-F-160,E3504
020-G-122,J3943
020-G-126,C6652
020-G-130,L2492
020-G-134,D0425
020-G-136,N3595
020-H-106,O0909
020-H-110,Z9725
020-H-114,A0373
020-H-118,X8084
020-H-120,W7030
020-J-082,E7032
020-J-086,B9678
